tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
12,Carl,TEACHER,University of California Berkeley,1072,Chemistry,good,Wagner,663153,PROFESSOR,,4.3
7,Anne,TEACHER,University of California Berkeley,1072,Art History,good,Wagner,707754,PROFESSOR,,3.8
6,David,TEACHER,University of California Berkeley,1072,Computer Science,good,Wagner,1140852,PROFESSOR,,4.4
0,Rosie,TEACHER,University of California Berkeley,1072,Political Science,zero,Wagner,1988619,PROFESSOR,,N/A
0,Rosemarie,TEACHER,University of California Berkeley,1072,Political Science,zero,Wagner,2283988,PROFESSOR,,N/A
63,John &quot;Jack&quot;,TEACHER,University of California Berkeley,1072,Mathematics,poor,Wagoner,38531,PROFESSOR,,2.0
2,Bernt,TEACHER,University of California Berkeley,1072,Engineering,average,Wahl,977966,PROFESSOR,,2.8
1,Dave,TEACHER,University of California Berkeley,1072,Geography,good,Wahl,1726413,PROFESSOR,,4.5
16,Margi,TEACHER,University of California Berkeley,1072,English,good,Wald,716770,PROFESSOR,,4.0
1,Johan,TEACHER,University of California Berkeley,1072,Business Administration,average,Walden,2136654,PROFESSOR,,3.0
4,Daniel,TEACHER,University of California Berkeley,1072,Classics,good,Walin,1095919,PROFESSOR,,4.4
28,Richard,TEACHER,University of California Berkeley,1072,Geography,good,Walker,217858,PROFESSOR,,3.8
4,Ned,TEACHER,University of California Berkeley,1072,Political Science,good,Walker,600551,PROFESSOR,,4.5
18,Matthew,TEACHER,University of California Berkeley,1072,Psychology,good,Walker,1138536,PROFESSOR,,4.5
0,Joan,TEACHER,University of California Berkeley,1072,Civil Engineering,zero,Walker,1432189,PROFESSOR,,N/A
17,R. Jay,TEACHER,University of California Berkeley,1072,Philosophy,good,Wallace,267671,PROFESSOR,,3.8
24,John,TEACHER,University of California Berkeley,1072,Japanese,good,Wallace,809529,PROFESSOR,,4.0
